Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,8.62207,0.010325014,0.010325014,-0.42682928,-1.6463414,0.73170733,-54.000004,-20.400002,-22.2
10,8.566985,0.010259049,0.010259049,-0.9756098,-2.012195,0.9756098,5.4,-48.0,17.400002
20,8.509504,0.010190215,0.010190215,-1.1585366,-2.012195,0.79268295,5.4,-47.4,16.2
30,8.447234,0.010115646,0.010115646,-0.91463417,-2.1341465,1.0365853,6.6000004,-47.4,17.400002
40,8.411309,0.010072625,0.010072625,-1.097561,-2.0731707,0.91463417,6.6000004,-48.600002,17.400002
50,8.4304695,0.01009557,0.01009557,-0.79268295,-1.8902439,0.85365856,5.4,-47.4,17.400002
60,8.447234,0.010115646,0.010115646,-0.6707317,-2.0731707,0.73170733,6.6000004,-48.600002,16.800001
70,8.466394,0.010138591,0.010138591,-0.6707317,-2.1341465,0.42682928,6.0,-49.2,18.0
80,8.495134,0.010173007,0.010173007,-0.6707317,-2.2560976,0.5487805,4.8,-48.0,17.400002
90,8.547825,0.010236104,0.010236104,-0.85365856,-2.5609756,0.06097561,6.0,-48.0,17.400002
100,8.528665,0.01021316,0.01021316,-1.0365853,-2.7439024,0.36585367,6.6000004,-46.800003,18.0
110,8.5119,0.010193083,0.010193083,-1.2195122,-2.378049,0.12195122,6.6000004,-48.600002,18.0
120,8.475974,0.010150062,0.010150062,-1.097561,-2.5609756,0.4878049,6.0,-49.2,17.400002
130,8.456815,0.010127119,0.010127119,-1.4634147,-2.682927,0.24390244,7.2000003,-49.2,17.400002
140,8.425679,0.010089833,0.010089833,-1.1585366,-2.2560976,0.36585367,6.0,-48.0,15.6
150,8.449629,0.010118513,0.010118513,-1.0365853,-2.0731707,0.4878049,6.6000004,-47.4,16.800001
160,8.464,0.010135722,0.010135722,-0.85365856,-1.6463414,0.6707317,6.6000004,-48.0,16.800001
170,8.466394,0.010138591,0.010138591,-1.0365853,-2.1341465,0.6097561,5.4,-48.600002,17.400002
180,8.51669,0.01019882,0.01019882,-1.402439,-2.5609756,0.6097561,6.0,-47.4,17.400002
190,8.466394,0.010138591,0.010138591,-1.8292683,-2.8658538,0.79268295,6.6000004,-48.0,16.800001
200,8.449629,0.010118513,0.010118513,-2.195122,-2.6219513,0.73170733,5.4,-48.600002,17.400002
210,8.440049,0.010107041,0.010107041,-2.1341465,-2.5,0.12195122,7.2000003,-48.600002,17.400002
220,8.475974,0.010150062,0.010150062,-1.8292683,-2.682927,0.42682928,5.4,-47.4,16.2
230,8.461604,0.010132854,0.010132854,-1.5243902,-2.4390244,0.6097561,6.6000004,-49.2,17.400002
240,8.464,0.010135722,0.010135722,-1.2804878,-2.1341465,0.9756098,7.2000003,-48.0,17.400002
250,8.461604,0.010132854,0.010132854,-1.7073171,-2.5,1.2195122,5.4,-48.0,16.800001
260,8.47837,0.010152931,0.010152931,-1.9512196,-2.5609756,1.1585366,7.2000003,-48.600002,16.800001
270,8.449629,0.010118513,0.010118513,-2.804878,-2.317073,1.402439,6.0,-46.800003,17.400002
280,8.432864,0.010098438,0.010098438,-2.682927,-2.804878,1.2804878,5.4,-48.0,18.6
290,8.420889,0.010084097,0.010084097,-2.9268293,-2.804878,0.6707317,6.0,-47.4,16.800001
300,8.452024,0.010121382,0.010121382,-2.9268293,-2.7439024,0.5487805,6.6000004,-49.800003,17.400002
310,8.4448395,0.010112778,0.010112778,-2.5609756,-2.7439024,0.79268295,6.0,-49.2,16.800001
320,8.411309,0.010072625,0.010072625,-2.195122,-2.5609756,0.42682928,6.0,-48.0,18.6
330,8.392149,0.010049681,0.010049681,-2.012195,-2.378049,0.18292683,5.4,-49.800003,16.2
340,8.380174,0.010035341,0.010035341,-1.7073171,-2.317073,0.24390244,7.2000003,-48.600002,16.800001
350,8.341853,0.009989451,0.009989451,-1.3414634,-1.9512196,0.42682928,5.4,-49.2,18.0
360,8.387359,0.010043944,0.010043944,-1.5243902,-1.8902439,0.5487805,6.0,-48.600002,16.2
370,8.449629,0.010118513,0.010118513,-1.402439,-1.9512196,0.73170733,6.6000004,-48.600002,16.800001
